"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"L3","744272102","70mil","2370mil","70mil","2370mil","192.441mil","2520mil","T","270.00","744272102"
"J3","IDC2P54_26P","5325mil","2770.866mil","5325mil","2770.866mil","4725mil","2720.866mil","T","0.00","61202621621"
"MIR3","MIRE_PICK-N-PLACE_D1MM_VE3MM","10725mil","2750mil","10725mil","2750mil","10725mil","2750mil","T","0.00","MIRE_PICK-N-PLACE"
"MIR2","MIRE_PICK-N-PLACE_D1MM_VE3MM","-152.5mil","2760mil","-152.5mil","2760mil","-152.5mil","2760mil","T","0.00","MIRE_PICK-N-PLACE"
"MIR1","MIRE_PICK-N-PLACE_D1MM_VE3MM","0mil","0mil","0mil","0mil","0mil","0mil","T","0.00","MIRE_PICK-N-PLACE"
"SI1","CIRCUIT_IMPRIME_SI_STD","-2738.709mil","-5108.37mil","10812.5mil","643.75mil","-2738.709mil","-5108.37mil","T","90.00","SI941C"
"R45","0805_ReflowSoldering_RES","5568.75mil","2075mil","5568.75mil","2075mil","5604.75mil","2075mil","T","180.00","RES_0805_1%_100PPM_10K"
"U1","SOT23_6L","1226.25mil","2749.988mil","1226.25mil","2750mil","1188.848mil","2704.725mil","T","270.00","LMR12010YMK"
"R2","0805_ReflowSoldering_RES","1370mil","2743.75mil","1370mil","2743.75mil","1370mil","2779.75mil","T","270.00","RES_0805_1%_100PPM_9.1K"
"R4","0805_ReflowSoldering_RES","1338.75mil","2625mil","1338.75mil","2625mil","1374.75mil","2625mil","T","180.00","RES_0805_1%_100PPM_47K"
"R5","0805_ReflowSoldering_RES","1257.5mil","2887.5mil","1257.5mil","2887.5mil","1293.5mil","2887.5mil","T","180.00","RES_0805_1%_100PPM_10K"
"L2","1206_ReflowSoldering_FERRITE","845mil","2687.5mil","845mil","2687.5mil","902.087mil","2687.5mil","T","180.00","IND_FERRITE_1206_74279218"
"L1","SELF_WE-TPC_4.8x4.78_(type4828)","932.5mil","2862.5mil","932.5mil","2862.5mil","1001.398mil","2862.5mil","T","180.00","SELF_10UH_1.19A_744043100"
